stock_id,Date,Score_20d,Score_60d,Unc_20d,Unc_60d,SQ_20d
6245,2026-07-20,0.20815201,0.25489682,0.012185838,0.01730088,17.080067
3645,2026-07-20,0.27623504,0.21793348,0.016832817,0.022263607,16.40953
6532,2026-07-20,0.4045186,0.4172645,0.024830945,0.02656841,16.29025
8240,2026-07-20,0.30769473,0.26352963,0.019268885,0.023466514,15.967648
2330,2026-07-20,0.26755205,0.27844983,0.017065221,0.024982935,15.677286
6278,2026-07-20,0.35523614,0.39528695,0.022732724,0.031544086,15.625955
6146,2026-07-20,0.16942498,0.17734653,0.0111728655,0.01787887,15.162611
2501,2026-07-20,0.23044027,0.28400466,0.015248663,0.019232431,15.111172
1785,2026-07-20,0.34230086,0.32679456,0.022745073,0.030618438,15.048789
1582,2026-07-20,0.2666703,0.21303634,0.018320795,0.021104766,14.554812
6486,2026-07-20,0.24531724,0.28570417,0.01691658,0.025008423,14.500728
3289,2026-07-20,0.33884376,0.3161015,0.023592517,0.029881239,14.361732
3708,2026-07-20,0.31027716,0.3252192,0.021690924,0.029064622,14.30381
4956,2026-07-20,0.16436021,0.10087159,0.011597106,0.021657152,14.171297
3591,2026-07-20,0.17643325,0.18808672,0.012521315,0.016793152,14.089507
8183,2026-07-20,0.20002773,0.26048753,0.014321293,0.017548678,13.966181
3357,2026-07-20,0.28237444,0.28645438,0.020307867,0.016420389,13.903997
3217,2026-07-20,0.32261512,0.33250114,0.023240274,0.02575399,13.881128
6548,2026-07-20,0.41838348,0.42749164,0.03051488,0.034551207,13.710353
8410,2026-07-20,0.24232951,0.2541786,0.017677788,0.02257506,13.70736
6679,2026-07-20,0.1797883,0.11964377,0.013171104,0.019656235,13.649172
3010,2026-07-20,0.19372845,0.18674329,0.014283859,0.018728584,13.561803
4960,2026-07-20,0.3473454,0.2836754,0.025719138,0.03233215,13.504804
3689,2026-07-20,0.2864408,0.29020727,0.021227816,0.023072397,13.493017
3715,2026-07-20,0.28031385,0.20151226,0.020843178,0.021952957,13.448064
2421,2026-07-20,0.23721407,0.20468362,0.017654851,0.0229736,13.435437
5309,2026-07-20,0.32481554,0.2849931,0.024503684,0.03541452,13.255243
2476,2026-07-20,0.25218445,0.2218894,0.019106273,0.023041958,13.198349
2313,2026-07-20,0.24845232,0.27398804,0.018828502,0.023860082,13.194842
3209,2026-07-20,0.22158621,0.19979146,0.016880596,0.020430105,13.125904
2393,2026-07-20,0.24575104,0.3404092,0.018821841,0.031344887,13.056001
3356,2026-07-20,0.19999367,0.28021201,0.015397605,0.028563688,12.987779
3038,2026-07-20,0.17190045,0.19477564,0.013238379,0.01735525,12.984027
1580,2026-07-20,0.19177446,0.20851713,0.014845632,0.019026453,12.917034
8054,2026-07-20,0.2775591,0.24606422,0.021563228,0.026816003,12.871274
4543,2026-07-20,0.17004411,0.1551264,0.013215456,0.016730396,12.86609
2449,2026-07-20,0.265162,0.16100435,0.020628553,0.027536675,12.853501
8096,2026-07-20,0.47161624,0.559516,0.03675844,0.04257145,12.8298
